Province/State	Country/Region	Lat	Long	Date	Confirmed	Death	Recovered	Location	Active	Fatality Rate	New Confirmed	New Death	New Recovered
0	Algeria	28	1	2020-03-14	37	3	12	Algeria	22	8.11	11	1	4
0	Algeria	28	1	2020-03-13	26	2	8	Algeria	16	7.69	2	1	0
0	Algeria	28	1	2020-03-12	24	1	8	Algeria	15	4.17	4	1	8
0	Algeria	28	1	2020-03-11	20	0	0	Algeria	20	0.0	0	0	0
0	Algeria	28	1	2020-03-10	20	0	0	Algeria	20	0.0	0	0	0
0	Algeria	28	1	2020-03-09	20	0	0	Algeria	20	0.0	1	0	0
0	Algeria	28	1	2020-03-08	19	0	0	Algeria	19	0.0	2	0	0
0	Algeria	28	1	2020-03-07	17	0	0	Algeria	17	0.0	0	0	0
0	Algeria	28	1	2020-03-06	17	0	0	Algeria	17	0.0	5	0	0
0	Algeria	28	1	2020-03-05	12	0	0	Algeria	12	0.0	0	0	0
0	Algeria	28	1	2020-03-04	12	0	0	Algeria	12	0.0	7	0	0
0	Algeria	28	1	2020-03-03	5	0	0	Algeria	5	0.0	2	0	0
0	Algeria	28	1	2020-03-02	3	0	0	Algeria	3	0.0	2	0	0
0	Algeria	28	1	2020-03-01	1	0	0	Algeria	1	0.0	0	0	0
0	Algeria	28	1	2020-02-29	1	0	0	Algeria	1	0.0	0	0	0
0	Algeria	28	1	2020-02-28	1	0	0	Algeria	1	0.0	0	0	0
0	Algeria	28	1	2020-02-27	1	0	0	Algeria	1	0.0	0	0	0
0	Algeria	28	1	2020-02-26	1	0	0	Algeria	1	0.0	0	0	0
0	Algeria	28	1	2020-02-25	1	0	0	Algeria	1	0.0	1	0	0
0	Algeria	28	1	2020-02-24	0	0	0	Algeria	0	0.0	0	0	0
0	Algeria	28	1	2020-02-23	0	0	0	Algeria	0	0.0	0	0	0
0	Algeria	28	1	2020-02-22	0	0	0	Algeria	0	0.0	0	0	0
0	Algeria	28	1	2020-02-21	0	0	0	Algeria	0	0.0	0	0	0
